Date,Our Portfolio,S&P 500,SPESG
2024-05-30,269.4385455557269,147.1657359574911,153.49305399749028
2024-05-31,272.73218875447435,148.34716426735565,154.93969746103537
2024-06-03,271.8604636292393,148.5127319532868,155.12094649749304
2024-06-04,272.8844753758152,148.73591823704095,155.4241109791583
2024-06-05,275.6414663491739,150.498089308003,157.18711310601617
2024-06-06,276.8040454523294,150.46801728612823,157.12450108243598
2024-06-07,276.8366770677333,150.3002123845122,156.9926900009928
2024-06-10,278.8162652281994,150.6881153887223,157.1475707872373
2024-06-11,278.2333525912239,151.09653764108518,157.6978848178114
2024-06-12,277.546474182882,152.3814131571889,159.1643094972868
2024-06-13,280.6340897738565,152.7386951295402,159.61246918550188
2024-06-14,281.1980533728011,152.6785373605411,159.56304128702828
2024-06-17,282.5681043085018,153.84872469098275,160.6999332346253
2024-06-18,283.77939631003295,154.23662769519285,161.2601328448941
2024-06-20,287.27299114904446,153.8470364852819,160.69663468921343
2024-06-21,287.7116270162648,153.60670736477667,160.35721637764024
2024-06-24,290.74352833128387,153.1358764024802,159.89257401890674
2024-06-25,287.93291596580366,153.73825015694808,160.7724308379002
2024-06-26,287.0476012994046,153.97999297816216,160.82844577065666
2024-06-27,285.4914154890003,154.1197022938459,160.65050533615172
2024-06-28,283.5276625337891,153.49033097341376,160.10347979444862
2024-07-01,283.7814970186742,153.90100416671112,160.61096301737282
2024-07-02,283.21025237385334,154.85446980596052,161.58307854248972
2024-07-03,283.2179916960382,155.64181874929474,162.6573584665065
2024-07-05,283.4254482270604,156.48987447161207,163.38892153353828
2024-07-08,284.2420061300187,156.6489775649814,163.70197159489823
2024-07-09,283.9038330412398,156.76506572610265,164.01833025821097
2024-07-10,285.48664975195726,158.36533375277685,165.91643195538296
2024-07-11,284.8934165196633,156.9775737656676,164.2292259772119
2024-07-12,286.9307927098458,157.8436232902112,165.37270495909172
2024-07-15,288.11039358492974,158.28972135272753,165.96586991039746
2024-07-16,291.7564757254126,159.30109382004153,166.96764217459847
2024-07-17,289.2900551834187,157.08242094736602,164.83227650821235
2024-07-18,287.96256541257554,155.85460129385172,163.3328965442409
2024-07-19,288.3189093352872,154.741758056241,162.08396467459016
2024-07-22,292.1476364150831,156.41173662563625,163.98537497371493
2024-07-23,291.6932849278169,156.1680310937293,163.4877773304854
2024-07-24,291.37541631210456,152.5528827004482,159.53668309335595
2024-07-25,288.68826515581276,151.7683611585317,158.46240316933915
2024-07-26,291.6204661602983,153.4515434180427,160.09359421475378
2024-07-29,293.4303471394136,153.57634711266027,160.327559638556
2024-07-30,292.89197965934426,152.81458203458143,159.37850376169956
2024-07-31,296.373527931259,155.22804364958762,161.7840987383367
2024-08-01,298.9139954103041,153.1024279692037,159.28953354444707
2024-08-02,296.82516949096913,150.2881204396141,156.81803805535878
2024-08-05,290.00675289562986,145.7841660579517,151.83879324727428
2024-08-06,294.5509043598803,147.2936278332688,153.2788597330774
2024-08-07,297.9498541459444,146.15436349017708,152.05958460251082
2024-08-08,295.64084995551343,149.52214170990788,155.58558885622645
2024-08-09,294.129040641782,150.22066083782747,156.29408221845694
2024-08-12,294.87259372067354,150.22712543038932,156.42589329990014
2024-08-13,296.06897570272116,152.7580889072256,159.1412397924854
2024-08-14,296.4686340594846,153.34219435447523,159.78713118767658
2024-08-15,296.8355781204137,155.81610196872214,162.24214400624643
2024-08-16,297.2197433551343,156.12614163194843,162.72325897895752
2024-08-19,298.4089749448976,157.64404443576987,164.4697884918378
2024-08-20,298.29805920055986,157.33119109637548,164.05457403157786
2024-08-21,301.3854159960189,157.9982245017115,164.62795776695324
2024-08-22,301.874139034822,156.58685708528932,163.0791599610491
2024-08-23,302.9522862755046,158.3850020354543,165.2310082979537
2024-08-26,300.465539856057,157.88549902674237,164.8223909285175
2024-08-27,300.8885048117789,158.13735735691205,165.13214244446564
2024-08-28,302.33107580580827,157.19233274616698,164.05457403157783
2024-08-29,303.77694464207553,157.18614265859713,163.75469803878354
2024-08-30,305.93708390571715,158.7726305346724,165.1420380807012
2024-09-03,304.0155100584341,155.41441881391316,161.4413818813516
2024-09-04,304.4499873011056,155.165360434662,161.115147694885
2024-09-05,297.6331288840952,154.69706864354163,160.64061975645677
2024-09-06,295.4491908067772,152.02695858625518,158.1757113016513
2024-09-09,300.08596981542297,153.78744145151634,159.88598698462368
2024-09-10,300.92717117606844,154.47528233524673,160.37698753702944
2024-09-11,303.31421361994563,156.1227652205467,162.1334026296044
2024-09-12,307.42181313573906,157.2929525509884,163.30323980515652
2024-09-13,310.2001585389378,158.14354744448184,164.13365866913546
2024-09-16,311.76444771722777,158.34227533344787,164.1402557599592
2024-09-17,309.53212969510656,158.38416479522868,164.10730047546315
2024-09-18,307.6991067771513,157.92541205258067,163.65584224183624
2024-09-19,308.7795931916088,160.60648858429795,166.49971132699372
2024-09-20,309.8078602344883,160.29474699012118,165.89995934140515
2024-09-23,312.0234723483648,160.74505870426486,166.23607910756644
2024-09-24,307.6152658556055,161.14871829501632,166.77980610385768
2024-09-25,306.1693738907424,160.848780415496,166.58868154424619
2024-09-26,304.85863131617623,161.49839647908894,167.31365757699513
2024-09-27,307.03110039292017,161.29600394847958,167.26093113310966
2024-09-30,308.6915708863256,161.979342950341,168.1276038269965
2024-10-01,308.3390208022915,160.46903020954866,166.3217608359479
2024-10-02,308.28599003852366,160.49123766340233,166.3349449610545
2024-10-03,307.8125761862186,160.22138553100638,166.16688004970342
2024-10-04,310.0307913743796,161.6586113176759,167.3729710551634
2024-10-07,309.2372707106327,160.10894828627883,165.99881513835234
2024-10-08,312.24731803221994,161.66029952337678,167.64319030887353
2024-10-09,314.7156287400575,162.8102558359073,168.70098756237186
2024-10-10,313.66586211481797,162.47321860671678,168.40769860386044
2024-10-11,314.9926752697228,163.4564817628489,169.3271077981736
2024-10-14,318.49880695493283,164.71634987418045,170.93520902570515
2024-10-15,320.19593554076937,163.46294635541076,169.55118764228112
2024-10-16,321.9077921378565,164.22781333989934,170.48375079207824
2024-10-17,321.64031963286504,164.19970402871746,170.32228297155086
2024-10-18,322.7038176234291,164.85183181298729,170.94510466194077
2024-10-21,321.9814993817058,164.55134492348296,170.7407959772227
2024-10-22,322.0056585913581,164.47320707750714,170.77044265976596
2024-10-23,319.46433955271647,162.96148063600594,169.280968388571
2024-10-24,318.14753254484367,163.3111588200786,169.73242662219795
